sample_ID,vineyard,row,habitat_type,description,year,treatment,cover_type,plot_disturbance,veg,plant_spec,plant_cov,Cu,som,clay,h2o_perc
203,3,203,vineyard,SOIL,2017,CC,veg,1,veg,8,88,15.01,6.589489316,5.48478576,14.14285714
204,4,204,vineyard,SOIL,2017,BG,bare,3,herb,1,0.5,28.01,5.714942617,6.382581751,17.71428571
205,5,205,vineyard,SOIL,2017,AC,altg,2,veg,5,5.5,9.59,7.874285954,4.855342878,15
206,6,206,vineyard,SOIL,2017,CC,veg,1,veg,9,27.5,34.81,8.856244898,8.334157047,13.71428571
207,7,207,vineyard,SOIL,2017,CC,veg,1,veg,7,5.5,19.78,3.028180792,15.12541247,9.428571429
208,8,208,vineyard,SOIL,2017,BG,bare,3,herb,7,24,29.08,1.626133013,9.704258277,11.8739255
209,9,209,vineyard,SOIL,2017,CC,veg,1,veg,6,7.5,120.2,5.464210804,15.2951237,5.857142857
210,10,210,vineyard,SOIL,2017,BG,bare,3,herb,6,5.5,53.03,3.823345258,16.35328502,6.142857143
211,11,211,vineyard,SOIL,2017,CC,veg,1,veg,8,64.5,126.6,5.312394478,5.609091429,15
212,12,212,vineyard,SOIL,2017,BG,bare,3,herb,2,1.5,121.4,4.87602449,4.070005326,15.14285714
213,13,213,vineyard,SOIL,2017,AC,altg,2,veg,7,32.5,94.66,3.235076351,5.91883314,11.28571429
214,14,214,vineyard,SOIL,2017,AC,altg,2,veg,1,3,33.65,8.641090036,5.649595139,8.428571429
215,15,215,vineyard,SOIL,2017,CC,veg,1,veg,9,20,95.57,12.32295342,7.086686412,14.73434302
216,16,216,vineyard,SOIL,2017,BG,bare,3,herb,2,1,108,9.618919328,11.20442923,16.57142857
217,17,217,vineyard,SOIL,2017,AC,altg,2,veg,5,8.5,41.74,6.554686675,5.810534723,12.28571429
218,18,218,vineyard,SOIL,2017,AC,altg,2,veg,5,18,81.52,4.0248,5.68675177,10
219,19,219,vineyard,SOIL,2017,CC,veg,1,veg,14,82.5,39.57,6.849316687,7.808490087,15.85714286
220,20,220,vineyard,SOIL,2017,AC,altg,2,veg,8,5.5,19.37,4.71642377,14.1125661,10.14285714
221,21,221,vineyard,SOIL,2017,BG,bare,3,herb,1,0.5,46.94,5.000884514,13.72716791,10.85714286
222,22,222,vineyard,SOIL,2017,BG,bare,3,herb,0,0,53.52,11.33322041,10.98775693,18.14285714
223,23,223,vineyard,SOIL,2017,CC,veg,1,veg,12,48,41.46,5.575845618,4.535472533,11.5
224,24,224,vineyard,SOIL,2017,AC,altg,2,veg,10,48,120.9,4.961033373,6.87722393,9.494153242
225,25,225,vineyard,SOIL,2017,BG,bare,3,herb,4,6.5,69.53,3.550881152,13.07583777,12.28571429
226,26,226,vineyard,SOIL,2017,BG,bare,3,herb,0,0,264.3,12.43087155,4.566123174,12.14285714
227,27,227,vineyard,SOIL,2017,CC,veg,1,veg,11,49,228.1,9.233984154,5.608552959,11.42857143
228,28,228,vineyard,SOIL,2017,AC,altg,2,veg,9,25.5,468,12.64678007,5.634626644,14.59189521
229,29,229,vineyard,SOIL,2017,AC,altg,2,veg,6,8.5,24.12,5.5814,2.829178511,11.42857143
230,30,230,vineyard,SOIL,2017,CC,veg,1,veg,7,70,45.93,5.5298,3.575062545,9.428571429
231,31,231,vineyard,SOIL,2017,BG,bare,3,herb,2,2.5,70.47,6.0372,7.635050473,14.57142857
232,32,232,vineyard,SOIL,2017,AC,altg,2,veg,8,36,520.1,10.83490564,3.502784639,15.85714286
233,33,233,vineyard,SOIL,2017,AC,altg,2,veg,7,44,47.98,14.05784082,11.92343269,19.57142857
